iter	Passed	Remaining
825	1708	359
826	1709	357
827	1712	355
828	1714	353
829	1716	351
830	1718	349
831	1719	347
832	1721	345
833	1723	343
834	1725	340
835	1728	338
836	1730	336
837	1731	334
838	1733	332
839	1735	330
840	1736	328
841	1738	326
842	1740	324
843	1743	322
844	1745	320
845	1746	317
846	1748	315
847	1750	313
848	1751	311
849	1753	309
850	1756	307
851	1758	305
852	1760	303
853	1761	301
854	1763	299
855	1765	296
856	1767	294
857	1769	292
858	1771	290
859	1773	288
860	1775	286
861	1777	284
862	1779	282
863	1781	280
864	1784	278
865	1786	276
866	1788	274
867	1789	272
868	1791	270
869	1793	267
870	1794	265
871	1796	263
872	1798	261
873	1801	259
874	1802	257
875	1804	255
876	1806	253
877	1808	251
878	1809	249
879	1811	247
880	1814	245
881	1816	243
882	1818	240
883	1820	238
884	1821	236
885	1823	234
886	1825	232
887	1841	232
888	1843	230
889	1845	228
890	1847	226
891	1849	223
892	1851	221
893	1852	219
894	1854	217
895	1856	215
896	1858	213
897	1861	211
898	1863	209
899	1865	207
900	1867	205
901	1869	203
902	1871	201
903	1873	198
904	1875	196
905	1877	194
906	1879	192
907	1881	190
908	1883	188
909	1884	186
910	1886	184
911	1889	182
912	1891	180
913	1892	178
914	1894	175
915	1896	173
916	1898	171
917	1900	169
918	1902	167
919	1904	165
920	1906	163
921	1908	161
922	1910	159
923	1911	157
924	1913	155
925	1915	153
926	1917	150
927	1919	148
928	1921	146
929	1923	144
930	1925	142
931	1926	140
932	1928	138
933	1930	136
934	1932	134
935	1934	132
936	1936	130
937	1938	128
938	1940	126
939	1941	123
940	1943	121
941	1945	119
942	1947	117
943	1950	115
944	1952	113
945	1955	111
946	1957	109
947	1959	107
948	1961	105
949	1964	103
950	1966	101
951	1968	99
952	1970	97
953	1972	95
954	1974	93
955	1976	90
956	1978	88
957	1980	86
958	1982	84
959	1983	82
960	1985	80
961	1987	78
962	1989	76
963	1991	74
964	1993	72
965	1995	70
966	1997	68
967	1999	66
968	2000	64
969	2002	61
970	2004	59
971	2007	57
972	2008	55
973	2010	53
974	2012	51
975	2014	49
976	2015	47
977	2017	45
978	2020	43
979	2022	41
980	2024	39
981	2025	37
982	2027	35
983	2029	32
984	2030	30
985	2033	28
986	2035	26
987	2037	24
988	2039	22
989	2041	20
990	2042	18
991	2044	16
992	2046	14
993	2048	12
994	2050	10
995	2052	8
996	2054	6
997	2056	4
998	2058	2
999	2061	0
